time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
54.45000284,0.01936003,0.00414409,0.00000718,443797.00000000,0.02167391,0.000000,0.000000
54.46666951,0.01948303,0.02176450,0.00000524,445662.00000000,0.05170864,0.000000,0.000000
54.48333617,0.01954976,0.01717134,0.00000419,450783.00000000,0.03710008,0.000000,0.000000
54.50000284,0.01955122,0.00420180,0.00000783,455992.00000000,0.01993756,0.000000,0.000000
54.51666951,0.01956285,0.00747422,0.00000687,457797.00000000,0.02264449,0.000000,0.000000
54.53333618,0.01970897,0.01208104,0.00002067,460356.00000000,0.05857604,0.000000,0.000000
54.55000285,0.01969190,0.00562261,0.00000597,461784.00000000,0.01513453,0.000000,0.000000
54.56666951,0.01979172,0.01237775,0.00001273,463628.00000000,0.04654273,0.000000,0.000000
54.58333618,0.01985514,0.01436468,0.00000730,466836.00000000,0.03691560,0.000000,0.000000
54.60000285,0.01987890,0.00768026,0.00000804,469952.00000000,0.02629539,0.000000,0.000000
54.61666951,0.01993092,0.01302980,0.00000955,471647.00000000,0.03402674,0.000000,0.000000
54.63333618,0.01998081,0.00410326,0.00001536,470864.00000000,0.03355230,0.000000,0.000000
54.65000285,0.01995203,0.00350151,0.00000568,472910.00000000,0.01209379,0.000000,0.000000
54.66666952,0.02001364,0.01719466,0.00000503,474535.00000000,0.03689637,0.000000,0.000000
54.68333619,0.02015882,0.01887063,0.00000757,478944.00000000,0.06008368,0.000000,0.000000
54.70000285,0.02016564,0.00634201,0.00000807,483874.00000000,0.02204821,0.000000,0.000000
54.71666952,0.02018693,0.01003910,0.00000570,485480.00000000,0.02608197,0.000000,0.000000
54.73333619,0.02018151,0.00782715,0.00000587,487929.00000000,0.01867611,0.000000,0.000000
54.75000285,0.02019437,0.00793900,0.00001055,489939.00000000,0.02378226,0.000000,0.000000
54.76666952,0.02035470,0.03001506,0.00000843,491804.00000000,0.06524722,0.000000,0.000000
54.78333619,0.02046046,0.02744140,0.00000599,494715.00000000,0.05017833,0.000000,0.000000
54.80000286,0.02049511,0.00754557,0.00000924,499767.00000000,0.03026705,0.000000,0.000000
54.81666953,0.02054234,0.01083878,0.00000988,501552.00000000,0.03390825,0.000000,0.000000
54.83333619,0.02058045,0.01135408,0.00001011,504052.00000000,0.03140430,0.000000,0.000000
54.85000286,0.02057225,0.00357797,0.00000735,503520.00000000,0.01823453,0.000000,0.000000
54.86666953,0.02063838,0.01127326,0.00001093,505341.00000000,0.03955048,0.000000,0.000000
54.88333620,0.02067440,0.01068643,0.00000725,508539.00000000,0.03101244,0.000000,0.000000
54.90000286,0.02064336,0.00555218,0.00000342,511824.00000000,0.01170562,0.000000,0.000000
54.91666953,0.02064749,0.01033824,0.00000529,513545.00000000,0.02184004,0.000000,0.000000
54.93333620,0.02065393,0.00838490,0.00000873,516019.00000000,0.02252011,0.000000,0.000000
54.95000287,0.02069918,0.00791000,0.00001230,518056.00000000,0.03386832,0.000000,0.000000
54.96666953,0.02076995,0.02272254,0.00000661,519925.00000000,0.04143383,0.000000,0.000000
54.98333620,0.02094218,0.02693505,0.00000942,524266.00000000,0.07140778,0.000000,0.000000
